id,code,date,customer,qty_input,qty_output,output_per_hour,lot_number,screw_config,machine_no,feed_rate,rpm,screen,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,resin_used,remarks
1,YA4249E,4-Jan-21,MOLDEX,,5,10,7361AF,STD,5,220,400,40/40,200,200,180,170,170,170,170,160,160,160,160,,,,
2,IA1770E,4-Jan-21,EVERBRIGHT,,935.62,69.1,7933AF-7945AF,STD,3,15,32,40/40,150,150,150,150,150,130,130,,,,,,,,VACUUM ON
3,WA5870E,4-Jan-21,ISLAND,,1754.26,353.21,7930AF-7932AF,STD,7,46,160,80/80,200,200,200,180,180,170,170,150,120,120,,,,,VACUUM ON
4,UA11287E,4-Jan-21,SMYPC-MPP,,11.35,23.48,7711AF,STD,5,380,20,40,170,170,170,170,170,170,160,160,160,150,150,,,,
5,WA3827E,4-Jan-21,ALPHATECH,,200,96.77,7374AF,STD,7,30,180,40/40,210,210,190,190,180,180,180,160,140,140,,,,,VACUUM ON
6,UA11287E,4-Jan-21,SMYPC-MPP,,51.22,69.85,7968AF-7969AF,STD,7,20,130,40,170,170,160,160,160,160,170,200,200,180,,,,,
7,VA4086E,5-Jan-21,IN-HOUSE(corr),,275,71.74,7366AF-7367AF; 7422AF-7425AF,STD,5,100,380,40/40,160,160,160,160,160,160,150,150,150,140,140,,,,VACUUM ON
8,VA4086E,5-Jan-21,IN-HOUSE(trial),,25,51.72,7420AF,STD,5,100,380,40/40,160,160,160,160,160,160,150,150,150,140,140,,,,VACUUM ON
9,KA3144E,4-Jan-21,H & E,,10,13.3,7712AF,STD,5,150,300,40/40,180,200,180,180,180,180,180,180,180,180,180,,,,
10,TA11397E,4-Jan-21,EVERGOOD,,253.44,59.23,7894AF-7899AF,STD,5,200,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
11,IA2859E,5-Jan-21,UNA(corr),,202.77,45.06,7946AF-7949AF,STD,3,30,40,60/60,150,150,150,150,150,150,130,130,,,,,,,
12,IA2859E,5-Jan-21,UNA(trial),,25,50,7950AF,STD,3,30,40,60/60,150,150,150,150,150,150,130,130,,,,,,,
13,VA4086E,5-Jan-21,ALPHATECH,,2500,50.97,7844AF-7889AF; 7890AF-7893AF,STD,5,100,380,40/40,160,160,160,160,160,160,150,150,150,140,140,,,,VACUUM ON
14,BA7688E,6-Jan-21,EVEREST(corr),,100.91,67.27,7929AF,STD,3,7.5,43,40/40,150,150,150,150,140,140,130,,,,,,,,VACUUM ON
15,BA7688E,6-Jan-21,EVEREST,,2495.25,63.85,7827AF-7843; 7900AF-7907AF,STD,3,7.5,43,40/40,150,150,150,150,140,140,130,,,,,,,,VACUUM ON
16,RA13616E,6-Jan-21,STAR PLASTIC,,201.55,53.27,7923AF-7926AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
17,BA9094E,6-Jan-21,ZELLER,,77.19,34.05,7964AF-7965AF,STD,3,30,40,40/40,180,200,180,180,180,180,180,,,,,,,,
18,GA8074E,7-Jan-21,EASTERN,,406.11,70.22,7996AF-8004AF,STD,3,8,16,40/40,140,130,130,130,120,120,120,,,,,,,,
19,WA12282E,7-Jan-21,PACKAGE WORLD,,2116.75,64.88,7743AF-7747AF,STD,8,22,150,60/60,150,150,150,150,140,140,140,140,130,130,,,,,
20,WA3827E,7-Jan-21,IN-HOUSE,,2153.67,167.6,7991AF-7995AF,STD,7,30,180,40/40,210,210,190,190,180,180,180,160,140,140,,,,,VACUUM ON
21,VA4086E,7-Jan-21,IN-HOUSE,,495.72,48.68,7981AF-7990AF,STD,5,100,380,40/40,160,160,160,160,160,160,150,150,150,140,140,,,,VACUUM ON
22,SA7726E,8-Jan-21,EASTERN,,48.22,45.21,8012AF,STD,3,6,28,40/40,160,130,105,100,120,120,110,,,,,,,,
23,CA1578E,8-Jan-21,JR HOLSTER,,72.02,49.1,7966AF-7967AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
24,WA5840E,8-Jan-21,TFT,,2545.15,265.58, 8006AF-8010AF ,STD,7,30,150,60/60,170,170,170,170,170,160,160,160,120,120,,,,,VACUUM ON
25,GA6607E,8-Jan-21,ALPHATECH,,43.78,29.19,8016AF,STD,3,15,25,40/40,180,200,180,180,180,180,180,,,,,,,,
26,WA2123E,9-Jan-21,KPC,,5330,251.81,7970AF-7980AF,STD,7,60,200,60/60,220,220,200,200,200,200,200,200,180,180,,,,,VACUUM ON
27,VA4086E,9-Jan-21,IN-HOUSE,,998.65,52.61,8023AF-8042AF,STD,5,100,380,40/40,160,160,160,160,160,160,150,150,150,140,140,,,,VACUUM ON
28,BA7883E,11-Jan-21,Alphatech,,128.7,81.28,8019AF-8021AF,STD,5,200,380,60/60,180,180,180,180,180,180,180,160,160,140,140,,,,
29,WA11278E,14-Jan-21,FORTUNE DARUMA,,225,11.34,8043AF,STD,1,50,100,40/40,170,180,180,180,180,180,180,180,180,180,180,180,,,
30,WA11838E,11-Jan-21,MCBRIDE,,301.96,61.63,8022AF,STD,7,80,400,40/40,200,220,220,220,220,220,220,220,220,220,,,,,Coil Screw
31,GA6607E,11-Jan-21,IN-HOUSE,,162.16,37.42,8090AF-8093AF,STD,3,15,25,40/40,180,200,180,180,180,180,180,,,,,,,,
32,VA4086E,11-Jan-21,IN-HOUSE(trial),,49.4,44.24,8094AF,STD,5,100,380,40/40,160,160,160,160,160,160,150,150,150,140,140,,,,VACUUM ON
33,BA2091E,12-Jan-21,GREENPACK,,2011.26,106.79,8049AF-8089AF,STD,5,250,400,60/60,170,170,170,170,170,170,160,160,160,150,150,,,,Pelletizer RPM 320
34,BA7688E,12-Jan-21,EVEREST(corr),,222.53,76.3,8044AF-8048AF,STD,5,120,400,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,VACUUM ON
35,OA9199E,12-Jan-21,ASY,,98.86,19.51,8095AF-8096AF,STD,3,10,25,100/100,150,150,150,150,150,130,130,,,,,,,,VACUUM ON
36,BA7883E,12-Jan-21,EASTERN,,200,90.91,8102AF-8105AF,STD,5,200,380,60/60,180,180,180,180,180,180,180,160,160,140,140,,,,
37,GA8074E,13-Jan-21,EASTERN,,203.4,82.46,8098AF-8101AF,STD,3,8,16,40/40,140,130,130,130,120,120,120,,,,,,,,
38,KA5796E,13-Jan-21,INCON,,27.51,41.27,8097AF,STD,3,18,40,40/40,180,200,180,180,180,180,180,,,,,,,,
39,OA9199E,13-Jan-21,ASY,,198.76,24.74,8134AF-8137AF,STD,3,10,25,100/100,150,150,150,150,150,130,130,,,,,,,,VACUUM ON
40,WA12282E,14-Jan-21,PACKAGE WORLD,,5000,66.21,8122AF-8131AF,STD,8,22,150,60/60,150,150,150,150,140,140,140,140,130,130,,,,,
41,BA9094E,14-Jan-21,ZELLER,,142.86,51.02,8153AF-8155AF,STD,5,150,300,40/40,180,200,180,180,180,180,180,180,180,180,180,,,,
42,BA9094E,14-Jan-21,ZELLER(corr),,52.23,52.23,8156AF,STD,5,150,300,40/40,180,200,180,180,180,180,180,180,180,180,180,,,,
43,GA4352E,14-Jan-21,ZELLER,,272.7,47.43,8139AF-8144AF,STD,3,30,40,40/40,180,200,180,180,180,180,180,,,,,,,,
44,GA4254E,14-Jan-21,INCON,,104.6,46.15,8145AF-8146AF,STD,3,9,25,40/40,180,200,180,180,180,180,180,,,,,,,,VACUUM ON
45,GA2595E,15-Jan-21,ALPHATECH,,380.89,32.88,8106AF-8121AF, STD ,5,200,250,40/40,200,220,220,220,220,220,220,220,220,220,220,,,,VACUUM ON/COIL SCREW
46,VA4086E,15-Jan-21,EASTERN,,490.9,57.19,8160AF-8169AF,STD,5,100,380,40/40,160,160,160,160,160,160,150,150,150,140,140,,,,VACUUM ON
47,YA5188E,15-Jan-21,Evergood,,142.55,47.52,8171AF-8173AF,STD,3,12,40,40/40,140,130,130,130,130,130,130,,,,,,,,VACUUM ON
48,WA11838E,15-Jan-21,IN-HOUSE,,47.17,20.07,8133AF,STD,1,80,400,40/40,200,220,220,220,220,220,220,220,220,220,,,,,Coil Screw
49,WA3827E,15-Jan-21,EASTERN,,492.07,113.12,8170AF,STD,7,30,180,40/40,210,210,190,190,180,180,180,160,140,140,,,,,VACUUM ON
50,WA5870E,15-Jan-21,ISLAND,,190.2,163.03,8159AF,STD,7,46,160,80/80,200,200,200,180,180,170,170,150,120,120,,,,,VACUUM ON
51,WA13075E,15-Jan-21,IN-HOUSE,,299.8,133.24,8152AF, STD ,7,25,150,60/60,190,190,180,180,170,170,160,160,180,180,,,,,
52,GA6607E,14-Jan-21,ALPHATECH,,8.7,26.1,8149AF,STD,3,15,25,40/40,180,200,180,180,180,180,180,,,,,,,,
53,ZA4789E,16-Jan-21,ISLAND,,102.6,68.4,8195AF-8196AF,STD,5,230,400,60/60,180,180,180,180,170,170,170,160,140,150,150,,,,
54,VA3010E,16-Jan-21,EVERGOOD,,53.4,58.25,8225AF,STD,5,20,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
55,BA12011E,16-Jan-21,Emson-Arwin,,204.3,57.01,8197AF-8201AF,STD,3,30,40,40/40,180,200,180,180,180,180,180,,,,,,,,
56,BA3018E,16-Jan-21,Evergood,,257.02,74.86,8233AF-8238AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
57,WA1400E,18-Jan-21,ALLIED,,985.62,260.52,8223AF-8224AF,STD,7,25,160,60/60,180,180,170,170,170,150,150,150,120,120,,,,,VACUUM ON
58,GA8074E,18-Jan-21,Polytechnique,,1013.76,81.1,8202AF-8222AF,STD,5,160,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
59,UA11287E,16-Jan-21,SMYPC-MPP,,24.04,27.74,7748AF,STD,1,80,40,40,120,140,150,150,150,150,150,150,140,140,,,,,
60,WA12282E,18-Jan-21,PACKAGE WORLD,,4783.1,64.88,8183AF-8192AF,STD,8,22,150,60/60,150,150,150,150,140,140,140,140,130,130,,,,,
61,BA9159E,18-Jan-21,Evergood,,495.56,77.03,8259AF-8268AF,STD,3,26,34,40/40,150,150,150,150,150,130,130,,,,,,,,VACUUM ON
62,GA6607E,19-Jan-21,In-house(corr),,7.65,22.95,8271AF,STD,3,15,25,40/40,180,200,180,180,180,180,180,,,,,,,,
63,KA5796E,19-Jan-21,INCON,,25.63,21.97,8239AF,STD,3,18,40,40/40,180,200,180,180,180,180,180,,,,,,,,
64,DA9260E,19-Jan-21,Evergood,,97.89,59.93,8269AF-8270AF,STD,3,30,40,60/60,150,150,150,150,150,130,130,,,,,,,,VACUUM ON
65,WA5835E,19-Jan-21,CEBU JUNTRADE,,1233.77,241.92,8256AF-8258AF,STD,7,40,150,60/60,200,200,180,170,160,140,140,140,120,120,,,,,VACUUM ON
66,WA7997E,5-Jan-21,NICE,,2183.16,59.62,7263AF-7267AF,STD,8,26,250,60/60,160,160,160,160,150,150,150,150,140,140,140,,,,VACUUM ON
67,WA11278E,16-Jan-21,FORTUNE DARUMA,,14.8,29.6,8158AF,STD,1,50,100,40/40,170,180,180,180,180,180,180,180,180,180,180,180,,,
68,IA12587E,20-Jan-21,EVERGOOD,,323.55,70.85,8226AF-8232AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
69,BA9094E,20-Jan-21,ZELLER,,266.7,50.32,8251AF-8255AF,STD,3,30,40,40/40,180,200,180,180,180,180,180,,,,,,,,
70,WA8512E,20-Jan-21,AMAZON,,2970,221.92,8241AF-8246AF,STD,7,22,200,40,170,160,160,150,150,140,140,140,130,130,,,,,VACUUM ON
71,CA1578E,21-Jan-21,JR HOLSTER,,88.86,49.83,8289AF-8290AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
72,TA13038E,21-Jan-21,PLEXCO,,53.93,49.03,8295AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
73,WA13211E,21-Jan-21,CALYPSO,,5004.75,263.87,8279AF-8283AF; 8334AF-8335AF; 8338AF-8342AF,STD,7,40,150,60/60,200,200,190,180,170,170,170,160,160,150,150,150,,,
74,KA13315E,22-Jan-21,PHIL-TOP,,248.76,67.85,8296AF-8300AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
75,KA12988E,22-Jan-21,PLEXCO,,51.9,51.9,8294AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
76,DA9260E,22-Jan-21,Evergood,,103.74,64.17,8336AF-8337AF,STD,3,30,40,60/60,150,150,150,150,150,130,130,,,,,,,,VACUUM ON
77,DA13055E,22-Jan-21,PLEXCO,,54.33,48.65,8291AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
78,WA8512E,25-Jan-21,AMAZON(corr),,1500,233.16,8273AF-8278AF,STD,7,22,200,40,170,160,160,150,150,140,140,140,130,130,,,,,VACUUM ON
79,KA4309E,25-Jan-21,MGQ,,990.62,69.52,8359AF-8368AF,STD,3,15,24,60/60,150,150,150,150,150,130,130,,,,,,,,
80,WA12282E,25-Jan-21,PACKAGE WORLD,,5200,66,8369AF-8381AF,STD,8,22,150,60/60,150,150,150,150,140,140,140,140,130,130,,,,,
81,WA7997E,25-Jan-21,NICE,,91.75,53.97,8193AF-8194AF,STD,8,26,250,60/60,160,160,160,160,150,150,150,150,140,140,140,,,,VACUUM ON
82,WA8512E,25-Jan-21,AMAZON,,527.28,259.32,8332AF-8333AF,STD,7,22,200,40,170,160,160,150,150,140,140,140,130,130,,,,,VACUUM ON
83,WA2123E,25-Jan-21,KPC,,5257.46,236.47,8404AF-8438AF,STD,7,60,200,60/60,220,220,200,200,200,200,200,200,180,180,,,,,VACUUM ON
84,BA9094E,26-Jan-21,H&E,,149.1,54.22,8329AF; 8382AF-8383AF,STD,5,150,300,40/40,180,200,180,180,180,180,180,180,180,180,180,,,,
85,BA9094E,26-Jan-21,H&E(tumbler),,22.2,53.28,8328AF,STD,5,150,300,40/40,180,200,180,180,180,180,180,180,180,180,180,,,,
86,GA12736E,26-Jan-21,PHIL-TOP,,126.9,60.91,8301AF-8303AF,STD,5,20,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
87,YA7822E,26-Jan-21,EASTERN,,395.74,71.3,8396AF-8403AF,STD,3,22,26,40/40,150,150,150,150,150,130,130,,,,,,,,VACUUM ON
88,GA6246E,26-Jan-21,PLASTIMER,,78.59,41,8353AF-8354AF,STD,5,15,300,40/40,180,200,180,180,180,180,180,180,180,180,180,,,,
89,YA6053E,26-Jan-21,EVERGOOD,,258.33,69.82,8347AF-8351AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
90,OA2469E,23-Jan-21,H & E,,496.67,81.64,8304AF-8313AF,STD,3,25,40,40/40,150,150,150,150,150,130,130,,,,,,,,
91,KA5796E,22-Jan-21,INCON,,29.23,47.4,8250AF,STD,3,18,40,40/40,180,200,180,180,180,180,180,,,,,,,,
92,WA5840E,22-Jan-21,TFT,,2507.2,253.68, 8319AF-8325AF ,STD,7,30,150,60/60,170,170,170,170,170,160,160,160,120,120,,,,,VACUUM ON
93,WA5840E,23-Jan-21,TFT,,44.63,95.68, 8326AF ,STD,7,30,150,60/60,170,170,170,170,170,160,160,160,120,120,,,,,VACUUM ON
94,SA12119E,27-Jan-21,Emson-Arwin,,57.13,47.61,8357AF; 8358AF,STD,3,15,25,40/40,150,150,150,150,150,130,130,,,,,,,,
95,TA13038E,27-Jan-21,PLEXCO(corr),,50.23,50.23,8352AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
96,KA12988E,27-Jan-21,PLEXCO,,50.78,50.78,8355AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
97,DA13055E,27-Jan-21,PLEXCO(corr),,54.5,46.06,8330AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
98,BA4140E,27-Jan-21,EVERBRIGHT,,983.23,59.89,8454AF-8493AF,STD,5,200,210,60/60,170,170,170,170,170,170,160,160,150,150,150,,,,
99,BA13023E,27-Jan-21,GENSTAR,,238.65,56.15,8444AF-8448AF,STD,5,20,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
100,BA13023E,27-Jan-21,GENSTAR(corr),,131.05,74.89,8449AF-8451AF,STD,5,20,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
101,WA5835E,28-Jan-21,STAR PLASTIC,,498.41,213.6,8494AF-8498AF,STD,7,40,150,60/60,200,200,180,170,160,140,140,140,120,120,,,,,VACUUM ON
102,WA3827E,28-Jan-21,EASTERN,,503.64,183.14,8343AF-8346AF,STD,7,30,180,40/40,210,210,190,190,180,180,180,160,140,140,,,,,VACUUM ON
103,BA7924E,28-Jan-21,AMAZON,,395.7,41.65,8511AF-8518AF,STD,5,100,400,40/40,180,180,180,180,180,180,180,180,160,160,160,,,,
104,WA12282E,28-Jan-21,PACKAGE WORLD,,3304.06,65.54,8498AF-8506AF,STD,8,22,150,60/60,150,150,150,150,140,140,140,140,130,130,,,,,
105,VA4086E,28-Jan-21,IN-HOUSE,,493.45,51.13,8384AF-8393AF,STD,3,20,34,40/40,160,160,160,140,140,140,130,,,,,,,,VACUUM ON
106,GA13755E,28-Jan-21,ERTESS,,29.78,68.72,8356AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
107,BA9550E,29-Jan-21,H&E,,55.68,47.73,8395AF,STD,5,150,300,40/40,180,200,180,180,180,180,180,180,180,180,180,,,,
108,WA5870E,29-Jan-21,ISLAND,,490.61,218.05,8519AF-8522AF,STD,7,46,160,80/80,200,200,200,180,180,170,170,150,120,120,,,,,VACUUM ON
109,WA5870E,29-Jan-21,ISLAND,,50,100,8523AF,STD,7,46,160,80/80,200,200,200,180,180,170,170,150,120,120,,,,,VACUUM ON
110,WA6947E,29-Jan-21,ATLANTA,,296.27,202,8452AF-8453AF,STD,7,35,185,40/40,220,220,220,200,200,200,200,200,180,180,,,,,VACUUM ON
111,GA4352E,29-Jan-21,ZELLER,,301.64,49.45,8524AF-8529AF,STD,3,30,40,40/40,180,200,180,180,180,180,180,,,,,,,,
112,DA13643E,30-Jan-21,Anilson Pkg.(trial),,100,70.59,6817AF,STD,3,30,40,60/60,150,150,150,150,150,130,130,,,,,,,,
113,DA13643E,30-Jan-21,Anilson Pkg.,,500,60.12,8530AF-8534AF,STD,3,30,40,60/60,150,150,150,150,150,130,130,,,,,,,,
114,BA9094E,30-Jan-21,IN-HOUSE(corr),,144.33,42.24,8507AF-8509AF,STD,5,150,300,40/40,180,200,180,180,180,180,180,180,180,180,180,,,,
115,GA13760E,23-Jan-21,Emson-Arwin,,27,37.67,8285AF,STD,5,20,380,60/60,170,170,170,170,170,170,160,160,160,150,150,,,,
116,GA2595E,23-Jan-21,In House,,95.33,31.78,8314AF-8317AF, STD ,5,200,250,40/40,200,220,220,220,220,220,220,220,220,220,220,,,,VACUUM ON/COIL SCREW
117,GA11745E,1-Feb-21,SMYPC-MPP,,470,33.85,8591AF-8600AF,STD,5,15,300,40/40,180,200,180,180,180,180,180,180,180,180,180,,,,
118,GA11745E,1-Feb-21,SMYPC-MPP,,23.3,29.56,8601AF,STD,5,15,300,40/40,180,200,180,180,180,180,180,180,180,180,180,,,,
119,IA12587E,1-Feb-21,EVERGOOD,,500,88.5,8535AF-8544AF,STD,5,20,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
120,BA9159E,1-Feb-21,Evergood,,99.31,79.45,8553AF-8554AF,STD,5,200,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
121,BA13023E,1-Feb-21,GENSTAR(corr),,158.84,70.08,8550AF-8552AF,STD,5,20,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
122,DA13643E,1-Feb-21,Anilson Pkg.,,1410.93,60.3,8627AF-8640AF,STD,3,30,40,60/60,150,150,150,150,150,130,130,,,,,,,,
123,WA11838E,2-Feb-21,IN-HOUSE,,385.03,115.51,8658AF,STD,7,80,400,40/40,200,220,220,220,220,220,220,220,220,220,,,,,Coil Screw
124,WA1815E,2-Feb-21,NPPET GLOBAL,,70.62,105.93,8709AF-8710AF,STD,7,35,150,60/60,180,200,180,180,170,170,160,160,150,130,130,,,,
125,GA9050E,2-Feb-21,Polytechnique,,1573.13,77.62,8611AF-8626AF,STD,5,200,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
126,GA13527E,2-Feb-21,GREENPACK,,255,69.86,8570AF-8575AF,STD,5,20,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
127,YA4584E,2-Feb-21,ZENAM,,260.47,67.65,8605AF-8610AF,STD,3,26,45,60/60,130,130,130,120,120,110,110,,,,,,,,VACUUM ON
128,YA7345E,1-Feb-21,BENNY,,98,53.45,8602AF-8603AF,STD,3,10,34,60/60,160,160,160,160,160,140,140,,,,,,,,VACUUM ON
129,YA7345E,2-Feb-21,BENNY,,49.5,44.68,8604AF,STD,3,10,34,60/60,160,160,160,160,160,140,140,,,,,,,,VACUUM ON
130,KA4309E,3-Feb-21,ZENAM,,247.25,72.37,8641AF-8646AF,STD,3,15,24,60/60,150,150,150,150,150,130,130,,,,,,,,
131,BA9159E,3-Feb-21,Evergood,,415.39,77.4,8659AF-8667AF,STD,3,26,34,40/40,150,150,150,150,150,130,130,,,,,,,,VACUUM ON
132,BA7924E,3-Feb-21,AMAZON,,403.7,73.85,8648AF-8655AF,STD,3,7.1,35,40/40,150,140,130,130,140,140,140,,,,,,,,
133,WA2123E,25-Jan-21,KPC,,6000,240.96,8439AF-8443AF,STD,7,60,200,60/60,220,220,200,200,200,200,200,200,180,180,,,,,VACUUM ON
134,WA2123E,4-Feb-21,KPC,,5813.44,250.94,8555AF-8569AF,STD,7,60,200,60/60,220,220,200,200,200,200,200,200,180,180,,,,,VACUUM ON
135,BA7883E,4-Feb-21,EASTERN,,190.88,75.35,8750AF-8753AF,STD,3,7.5,28,60/60,160,180,180,180,180,180,160,,,,,,,,VACUUM ON
136,MA7758E,4-Feb-21,CYBERMANN,,423.88,39.18,8712AF-8728AF,STD,3,6.6,28,40/40,180,200,180,180,180,180,180,,,,,,,,
137,IA1770E,4-Feb-21,EVERBRIGHT,,1010.44,68.89,8668AF-8708AF,STD,5,270,400,40/40,160,160,160,160,160,160,150,150,150,140,140,,,,
138,GA7505E,4-Feb-21,TRADESPHERE,,49.54,66.05,8711AF,STD,5,200,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
139,VA4086E,5-Feb-21,EASTERN,,391.81,42.13,8755AF-8762AF,STD,5,100,380,40/40,160,160,160,160,160,160,150,150,150,140,140,,,,VACUUM ON
140,GA9050E,5-Feb-21,Polytechnique,,52.71,70.28,8763AF,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,
141,YA7822E,5-Feb-21,EASTERN,,250,69.77,8764AF-8768AF,STD,3,22,26,40/40,150,150,150,150,150,130,130,,,,,,,,VACUUM ON
142,YA7822E,5-Feb-21,EASTERN,,51.37,77.06,8769AF,STD,3,22,26,40/40,150,150,150,150,150,130,130,,,,,,,,VACUUM ON
143,WA5870E,6-Feb-21,ISLAND,,986.32,241.55,8729AF-8731AF,STD,7,46,160,80/80,200,200,200,180,180,170,170,150,120,120,,,,,VACUUM ON
144,RA7347E,6-Feb-21,BENNY,,716.83,28.13,8576AF-8590AF,STD,5,7.5,220,60/60,180,180,170,170,160,160,160,160,160,160,160,,,,VACUUM ON
145,RA4665E,7-Feb-21,EVEREST,,740.58,47.52,8833AF-8847AF,STD,5,250,350,40/40,160,160,160,160,160,160,160,150,150,150,150,,,,
146,WA1400E,8-Feb-21,In House,,320.37,240.38,8778AF,STD,7,25,160,60/60,180,180,170,170,170,150,150,150,120,120,,,,,VACUUM ON
147,WA3827E,8-Feb-21,EASTERN,,393.94,181.92,8754AF,STD,7,30,180,40/40,210,210,190,190,180,180,180,160,140,140,,,,,VACUUM ON
148,WA7997E,8-Feb-21,NICE,,1000,46.58,8733AF-8735AF,STD,3,11,36,60/60,150,150,140,140,140,140,140,,,,,,,,
149,WA7997E,8-Feb-21,NICE,,5247.77,63.6,8735AF-8748AF,STD,8,26,250,60/60,160,160,160,160,150,150,150,150,140,140,140,,,,VACUUM ON
150,IA12587E,9-Feb-21,EVERGOOD,,747.3,71.97,8782AF-8797AF,STD,5,20,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
151,BA9080E,11-Feb-21,ZELLER,,53.33,37.84,8863AF,STD,5,150,300,40/40,180,200,180,180,180,180,180,180,180,180,180,,,,
152,RA7487E,11-Feb-21,GENSTAR,,257.19,65.67,8855AF-8860AF,STD,5,300,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
153,RA12706E,11-Feb-21,PLEXCO,,124.31,62.16,8851AF-8853AF,STD,5,20,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
154,WA6168E-I,11-Feb-21,GILVAN,,1967.32,196.73,8870AF-8890AF,STD,7,30,150,80/80,200,200,180,170,170,160,160,150,130,130,,,,,VACUUM ON
155,VA4086E,13-Feb-21,EASTERN,,488.39,61.82,8923AF-8932AF,STD,5,100,380,40/40,160,160,160,160,160,160,150,150,150,140,140,,,,VACUUM ON
156,IA12587E,13-Feb-21,EVERGOOD,,768.41,73.65,8901AF-8916AF,STD,5,20,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
157,WA11678E,13-Feb-21,INCON,,211.7,254.04,8861AF; 8862AF,STD,7,35,150,40/40,200,200,190,190,170,170,160,160,170,170,,,,,
158,WA4284E,13-Feb-21,ZELLER,,60.44,80.59,8952AF; 8953AF,STD,7,38,200,40/40,220,220,200,200,200,200,200,200,180,180,,,,,VACUUM ON
159,GA4254E,15-Feb-21,Incon,,98.6,53.78,8950AF-8951AF,STD,5,150,300,40/40,180,200,180,180,180,180,180,180,180,180,180,,,,
160,GA5520E,15-Feb-21,H & E,,96.58,79.38,8933AF-8934AF,STD,5,75,400,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
161,GA5520E,15-Feb-21,H & E,,23.81,59.53,9016AF,STD,5,75,400,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
162,SA7726E,15-Feb-21,EASTERN,,55.03,51.59,8869AF,STD,5,150,250,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
163,WA3827E,15-Feb-21,IN-HOUSE,,472.82,149.31,8945AF-8949AF,STD,7,30,180,40/40,210,210,190,190,180,180,180,160,140,140,,,,,VACUUM ON
164,OA9199E,15-Feb-21,ASY,,302.21,28.03,8917AF-8922AF,STD,3,10,25,100/100,150,150,150,150,150,130,130,,,,,,,,VACUUM ON
165,WA13906E,15-Feb-21,NMH,,295.93,159.96,8864AF-8866AF,STD,7,30,180,60/60,200,200,180,180,180,180,180,180,180,180,180,,,,VACUUM ON (52-62 PPG)
166,WA5840E,9-Feb-21,TFT,,2462.64,240.65, 87710AF-8777AF ,STD,7,30,150,60/60,170,170,170,170,170,160,160,160,120,120,,,,,VACUUM ON
167,GA3383E,10-Feb-21,EVEREST,,498.28,90.6,8823AF-8832AF,STD,5,200,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
168,GA12984E,10-Feb-21,PLEXCO,,12.37,26.51,8854AF,STD,5,20,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
169,GA8074E,10-Feb-21,ALPHATECH,,146.46,78.46,8848AF-8850AF,STD,5,160,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
170,GA12984E,16-Feb-21,PLEXCO(corr),,12.5,23.44,9005AF,STD,5,20,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
171,GA3383E,15-Feb-21,EVEREST,,493.87,92.31,9006AF-9015AF,STD,5,200,380,40/40,170,170,170,170,170,170,160,160,160,150,150,,,,
